eta_frac,eta_percent,eta,c0,code,message
0.018,1.8,13.734,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0182,1.82,13.8866,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0184,1.84,14.0392,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0186,1.86,14.1918,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0188,1.88,14.3444,2.3,threshold_not_reached,Background peak does not exceed eta.
0.019,1.9,14.497,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0192,1.92,14.6496,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0194,1.94,14.8022,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0196,1.96,14.9548,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0198,1.98,15.1074,2.3,threshold_not_reached,Background peak does not exceed eta.
0.02,2,15.26,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0202,2.02,15.4126,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0204,2.04,15.5652,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0206,2.06,15.7178,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0208,2.08,15.8704,2.3,threshold_not_reached,Background peak does not exceed eta.
0.021,2.1,16.023,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0212,2.12,16.1756,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0214,2.14,16.3282,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0216,2.16,16.4808,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0218,2.18,16.6334,2.3,threshold_not_reached,Background peak does not exceed eta.
0.022,2.2,16.786,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0222,2.22,16.9386,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0224,2.24,17.0912,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0226,2.26,17.2438,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0228,2.28,17.3964,2.3,threshold_not_reached,Background peak does not exceed eta.
0.023,2.3,17.549,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0232,2.32,17.7016,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0234,2.34,17.8542,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0236,2.36,18.0068,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0238,2.38,18.1594,2.3,threshold_not_reached,Background peak does not exceed eta.
0.024,2.4,18.312,2.3,threshold_not_reached,Background peak does not exceed eta.
0.0242,2.42,18.4646,2.3,threshold_not_reached,Background peak does not exceed eta.
